entropy,episode,episode_length,episode_reward,moving_avg_reward,policy_loss,rollout,total_env_steps,value_loss
5.599761447310447,1,67,-100.85888550651042,-100.85888550651042,-0.01557096395699773,1,2048,109.89970685187727
5.599761447310447,2,75,-100.12246817286747,-100.49067683968894,-0.01557096395699773,1,2048,109.89970685187727
5.599761447310447,3,89,-102.09289980110465,-101.02475116016085,-0.01557096395699773,1,2048,109.89970685187727
5.599761447310447,4,1600,-110.54866001697005,-103.40572837436315,-0.01557096395699773,1,2048,109.89970685187727
5.505266673862934,5,1383,-88.48326270789904,-100.42123524107032,-0.01513296254852321,2,4096,248.4931200146675
5.505266673862934,6,81,-120.03515099444054,-103.69022119996536,-0.01513296254852321,2,4096,248.4931200146675
5.505266673862934,7,76,-105.36517256055028,-103.9294999657632,-0.01513296254852321,2,4096,248.4931200146675
5.505266673862934,8,48,-117.75575730308022,-105.65778213292784,-0.01513296254852321,2,4096,248.4931200146675
5.505266673862934,9,97,-122.00605680847106,-107.47425709687708,-0.01513296254852321,2,4096,248.4931200146675
5.505266673862934,10,79,-102.13755976577661,-106.94058736376704,-0.01513296254852321,2,4096,248.4931200146675
5.505266673862934,11,93,-126.18288260547754,-108.68988693119526,-0.01513296254852321,2,4096,248.4931200146675
5.505266673862934,12,126,-101.85104339171822,-108.1199833029055,-0.01513296254852321,2,4096,248.4931200146675
5.505266673862934,13,45,-101.94403224325119,-107.64491014447056,-0.01513296254852321,2,4096,248.4931200146675
