entropy,episode,episode_length,episode_reward,moving_avg_reward,policy_loss,rollout,total_env_steps,value_loss
5.613359785079956,1,65,-100.28267540001963,-100.28267540001963,-0.01303811953694094,1,2048,116.67181704342366
5.613359785079956,2,72,-100.18741052468184,-100.23504296235073,-0.01303811953694094,1,2048,116.67181704342366
5.613359785079956,3,101,-125.32644161916151,-108.59884251462098,-0.01303811953694094,1,2048,116.67181704342366
5.613359785079956,4,1600,-104.01178599543789,-107.45207838482521,-0.01303811953694094,1,2048,116.67181704342366
5.538230533897877,5,1390,-84.32323992352308,-102.82631069256479,-0.008894685239647515,2,4096,242.6405620455742
5.538230533897877,6,112,-121.57724431688712,-105.9514662966185,-0.008894685239647515,2,4096,242.6405620455742
5.538230533897877,7,84,-102.53051271294616,-105.46275864180816,-0.008894685239647515,2,4096,242.6405620455742
5.538230533897877,8,94,-103.22028951456522,-105.1824500009028,-0.008894685239647515,2,4096,242.6405620455742
5.538230533897877,9,72,-99.51303904210714,-104.55251544992551,-0.008894685239647515,2,4096,242.6405620455742
5.538230533897877,10,83,-100.4171361633086,-104.13897752126381,-0.008894685239647515,2,4096,242.6405620455742
5.538230533897877,11,75,-100.16130019137015,-103.77737049127349,-0.008894685239647515,2,4096,242.6405620455742
5.538230533897877,12,62,-104.75650077697324,-103.85896468174847,-0.008894685239647515,2,4096,242.6405620455742
5.538230533897877,13,71,-102.81709265821614,-103.77882067993829,-0.008894685239647515,2,4096,242.6405620455742
5.490310320258141,14,1595,-94.55550972708934,-103.1200127547348,-0.014821244587074034,3,6144,109.8219850949943
5.490310320258141,15,93,-103.3462217986354,-103.13509335766152,-0.014821244587074034,3,6144,109.8219850949943
5.490310320258141,16,190,-125.75160128692974,-104.54862510324077,-0.014821244587074034,3,6144,109.8219850949943
5.490310320258141,17,47,-106.83839560569947,-104.68331748573834,-0.014821244587074034,3,6144,109.8219850949943
5.490310320258141,18,80,-100.9246239931751,-104.47450118059595,-0.014821244587074034,3,6144,109.8219850949943
5.406608983874321,19,1557,-92.136750143071,-103.82514586283146,-0.01356176521803718,4,8192,45.70056274272501
5.406608983874321,20,113,-102.80425838549063,-103.77410148896442,-0.01356176521803718,4,8192,45.70056274272501
5.406608983874321,21,77,-100.91985806195748,-103.63818513529743,-0.01356176521803718,4,8192,45.70056274272501
5.319028042256832,22,1299,-77.976397879485,-102.47174026003323,-0.013034878380130977,5,10240,66.22197612076998
5.319028042256832,23,95,-125.21715998090184,-103.4606715522449,-0.013034878380130977,5,10240,66.22197612076998
5.319028042256832,24,138,-102.40042750456992,-103.4164947169251,-0.013034878380130977,5,10240,66.22197612076998
5.319028042256832,25,88,-121.0727706387639,-104.12274575379864,-0.013034878380130977,5,10240,66.22197612076998
5.25187238752842,26,1172,-73.12624474200737,-102.93057263796051,-0.008211804123129695,6,12288,28.176177487894893
5.25187238752842,27,62,-115.22151656691109,-103.38579278347721,-0.008211804123129695,6,12288,28.176177487894893
5.285180953145027,28,786,-42.37207977701473,-101.20673160467497,-0.009475720129557885,7,14336,0.3715664622373879
5.265916247665882,29,338,-18.54430919361799,-98.35630324567302,-0.00557361971877981,8,16384,20.056428688019516
5.265916247665882,30,80,-102.16471104185656,-98.48325017221246,-0.00557361971877981,8,16384,20.056428688019516
5.265916247665882,31,1600,-94.3387054379097,-98.34955518078334,-0.00557361971877981,8,16384,20.056428688019516
5.249717546999454,32,1570,-82.05418731595199,-97.84032493500737,-0.014968024325207807,9,18432,0.36466790214180944
5.2468508124351505,33,1122,-51.795384459455754,-96.4450237084755,-0.0118910893186694,10,20480,0.25960876655299214
5.230331592261791,34,674,-28.683371790605282,-94.45203394618521,-0.00753223272622563,11,22528,16.769450162164866
5.230331592261791,35,89,-101.99796287147639,-94.66763191547923,-0.00753223272622563,11,22528,16.769450162164866
5.216787999868393,36,315,-14.611368915138142,-92.44384683213643,-0.010220886071329005,12,24576,0.3910017392365262
5.216787999868393,37,1600,-72.0352978285612,-91.8922644266344,-0.010220886071329005,12,24576,0.3910017392365262
5.247036272287369,38,1467,-65.4672883570145,-91.19687031953914,-0.01109546048392076,13,26624,0.22958322849590332
5.281468372046947,39,1019,-42.91462811836854,-89.95886410925272,-0.009989369657705537,14,28672,0.24791178847663103
5.26819406747818,40,571,-20.82424285052592,-88.23049857778454,-0.012691457368782721,15,30720,0.18593315782491118
5.268062798678875,41,123,-4.063783896031475,-86.1776518782296,-0.01442987501504831,16,32768,0.2228211936308071
