entropy,episode,episode_length,episode_reward,moving_avg_reward,policy_loss,total_env_steps,value_loss
5.675754547119141,1,67,-100.85939473520871,-100.85939473520871,0.32698366045951843,67,5326.31591796875
5.674554347991943,2,76,-99.82466353203232,-100.34202913362051,0.2412755936384201,143,4919.22021484375
5.673466682434082,3,50,-102.27494582131071,-100.98633469618392,1.4927324056625366,193,6418.54443359375
5.67241096496582,4,96,-104.04384546278293,-101.75071238783367,1.6416774988174438,289,4499.65576171875
5.671308994293213,5,1600,-105.12436466894872,-102.42544284405668,1.7290455102920532,1889,36.475486755371094
5.670170783996582,6,1600,-102.55134065720807,-102.44642581291525,2.2085633277893066,3489,33.52980422973633
5.669008731842041,7,102,-122.93917247524237,-105.37396105039055,3.305723190307617,3591,5590.72412109375
5.66782808303833,8,64,-117.76760990333185,-106.92316715700821,4.249462127685547,3655,6719.986328125
5.666633605957031,9,71,-100.41536661383076,-106.20007820776627,3.8438007831573486,3726,5070.33740234375
5.665431499481201,10,58,-102.8725761007586,-105.86732799706552,4.066071033477783,3784,6002.05029296875
5.664219856262207,11,63,-100.7006874101963,-105.39763339825922,4.842968463897705,3847,5408.95703125
5.6630048751831055,12,1600,-97.8328051286066,-104.76723104245484,5.128434658050537,5447,24.359668731689453
5.6617841720581055,13,1600,-105.58973199807483,-104.83050034673329,5.6183977127075195,7047,30.86124038696289
5.66055965423584,14,1600,-99.90542503155085,-104.47870925279167,6.198537826538086,8647,27.9819393157959
5.659333229064941,15,103,-98.93313293682971,-104.10900416506088,7.288655757904053,8750,3770.996337890625
5.658104419708252,16,71,-100.18415849804444,-103.86370131087236,7.824674129486084,8821,5082.431640625
5.656875133514404,17,1600,-110.16252706165008,-104.23422047268281,7.96372127532959,10421,28.407943725585938
5.655642032623291,18,1600,-111.85229466570529,-104.65744681673962,8.548242568969727,12021,26.3220272064209
5.654409885406494,19,134,-125.42806303736816,-105.75063714414112,10.193839073181152,12155,4302.77392578125
5.6531758308410645,20,69,-109.81980012172522,-105.95409529302033,9.417789459228516,12224,5866.013671875
5.651941299438477,21,73,-101.33998883030563,-105.73437593765296,10.862870216369629,12297,4953.083984375
5.650708198547363,22,110,-101.43077142405076,-105.53875755067105,12.134483337402344,12407,3579.088134765625
